"Код направлени",,,Общий,Кол-во поданн,Конкурс
"я подготовки",,Направление подготовки (специальности),конкурс,,на
"(специально",,,(кол-во,ых,общие
"сти)",,,мест),заявлений,места
"",,Антропология и этнология (Антропология и,,,
46.03.03,,этнология),16,254,"15,88"
"",,"Востоковедение и африканистика (История,",,,
58.03.01,,культура и словесность Древнего Ирана),2,378,"189,00"
"",,Востоковедение и африканистика,,,
"",,(Современное политическое развитие стран,,,
58.03.01,,Азии и Африки - арабский язык),2,625,"312,50"
"",,Востоковедение и африканистика,,,
"",,(Современное политическое развитие стран,,,
58.03.01,,Азии и Африки - китайский язык),2,870,"435,00"
"",,Востоковедение и африканистика,,,
"",,(Современное политическое развитие стран,,,
58.03.01,,Азии и Африки - язык суахили),4,446,"111,50"
"",,Востоковедение и африканистика (Турция и,,,
"",,тюркский мир на пространстве Большой,,,
58.03.01,,Евразии),6,689,"114,83"
"",,Государственное и муниципальное,,,
"",,управление (Государственная и,,,
38.03.04,,муниципальная служба),1,"2 0782 078,00",
"",,Документоведение и архивоведение (Архивы,,,
46.03.02,,в России и за рубежом),11,496,"45,09"
"",,Документоведение и архивоведение,,,
"",,"(Аудиовизуальные, научно-технические и",,,
46.03.02,,экономические архивы),6,413,"68,83"
"",,Документоведение и архивоведение,,,
46.03.02,,(Государственные и муниципальные архивы),9,535,"59,44"
"",,Документоведение и архивоведение,,,
"",,(Информационно-документационное,,,
46.03.02,,обеспечение управления ),9,425,"47,22"
"",,Документоведение и архивоведение,,,
"",,(Экспертная оценка и реставрация архивных,,,
46.03.02,,документов),11,529,"48,09"
"",,Зарубежное регионоведение (Европейские,,,
"",,исследования; Американские исследования;,,,
41.03.01,,Азиатские исследования),3,785,"261,67"
"",,Интеллектуальные системы в гуманитарной,,,
"",,сфере (Разработка и программирование,,,
"",,интеллектуальных систем в гуманитарной,,,
45.03.04,,сфере),7,305,"43,57"
"",,Информационная безопасность,,,
"",,(Организация и технологии защиты,,,
"",,информации; Безопасность,,,
10.03.01,,автоматизированных систем),11,343,"31,18"
46.03.01,,История (Историческое краеведение),6,611,"101,83"
46.03.01,,История (История),12,1 734,"144,50"
46.03.01,,История (История Древнего Египта),4,557,"139,25"
46.03.01,,История (История Древней Греции и Рима),4,655,"163,75"
"",,История (История и культура Латинской,,,
46.03.01,,Америки),4,587,"146,75"
"",,История (История международных,,,
"",,отношений:  интересы - конфликты -,,,
46.03.01,,ценности),4,910,"227,50"
"",,История (История международных,,,
46.03.01,,отношений: Россия и мир),4,975,"243,75"
46.03.01,,История (История современной России),12,1 161,"96,75"
"",,"История (Компаративистика (история,",,,
"",,"литература, культура России и страны",,,
46.03.01,,специализации) ),11,897,"81,55"
"",,Клиническая психология,,,
"",,(Патопсихологическая диагностика и,,,
"",,психотерапия; Нейропсихологическая,,,
37.05.01,,диагностика и нейрореабилитация),4,1 136,"284,00"
45.03.02,,Лингвистика (Перевод и переводоведение),2,"2 7831 391,50",
45.03.02,,Лингвистика (Язык и коммуникация),3,2 599,"866,33"
41.03.05,"Международные отношения(Международная безопасность)",3,768,"256,00"
41.03.05,"Международные отношения(Международные отношения в современнойЕвразии (Россия и страны евразийскогопространстсва))",1,727,"727,00"
41.03.05,"Международные отношения (Мироваяполитика и международный бизнес)",7,1 154,"164,86"
38.03.02,"Менеджмент (Управление конфликтами вгеополитическом измерении напостсоветском пространстве)",1,721,"721,00"
45.05.01,"Перевод и переводоведение(Лингвистическое обеспечениемежгосударственных отношений (английскийязык))",4,1 595,"398,75"
45.05.01,"Перевод и переводоведение (Межъязыковаяи межкультурная коммуникация (корейскийязык))",4,1 058,"264,50"
41.03.04,"Политология (Государственная политика иуправление; политический менеджмент)",3,664,"221,33"
09.03.03,"Прикладная информатика (Прикладнаяинформатика в гуманитарной сфере)",21,325,"15,48"
01.03.04,"Прикладная математика (Математикаинформационных сред)",14,192,"13,71"
37.05.02,"Психология служебной деятельности(Психология менеджмента иорганизационное консультирование)",5,694,"138,80"
44.03.02,"Психолого-педагогическое образование(Психолого-педагогическоеконсультирование; Психологическая помощьв образовании)",14,675,"48,21"
41.03.06,"Публичная политика и социальные науки(Публичная политика и социальные науки)",,307,
41.03.02,"Регионоведение России (РегионоведениеРоссии)",2,98,"49,00"
47.03.03,Религиоведение (История религий),13,141,"10,85"
39.03.01,"Социология (Социология политики и связей собщественностью;  Социология маркетинга;Цифровая социология и социальнаядиагностика)",25,1 585,"63,40"
48.03.01,Теология (Историческая теология иудаизма),3,46,"15,33"
48.03.01,Теология (Православная теология и культура),4,55,"13,75"
38.03.03,"Управление персоналом (Управлениеперсоналом организации)",1,615,"615,00"
45.03.01,"Филология (Зарубежная филология(классическая филология))",3,1 616,"538,67"
45.03.01,"Филология (Зарубежная филология(компаративистика: языки, литература,культура России и страны специализации))",3,1 369,"456,33"
45.03.01,"Филология (Зарубежная филология(славистика и центральноевропеистика))",4,1 004,"251,00"
45.03.01,"Филология (Отечественная филология(новейшая русская литература: творческоеписьмо))",3,1 300,"433,33"
45.03.01,"Филология (Отечественная филология(русский язык как иностранный имежкультурная коммуникация))",3,1 194,"398,00"
45.03.01,"Филология (Прикладная филология:иностранные языки)",3,1 304,"434,67"
47.03.01,"Философия (Европейская философия;Восточная философия)",22,762,"34,64"
45.03.03,"Фундаментальная и прикладная лингвистика(Фундаментальная и прикладнаялингвистика)",5,394,"78,80"
38.03.01,"Экономика (Финансы, банки, инвестиции)",,550,
