name,points
Антропология и этнология,257
Востоковедение и африканистика,267.75
Государственное и муниципальное управление,251
Документоведение и архивоведение,246.2
Журналистика,378
Зарубежное регионоведение,266
Интеллектуальные системы в гуманитарной сфере,252
История,254.6
Клиническая психология,231
Лингвистика,271
Международные отношения,270
Менеджмент,249
Перевод и переводоведение,276
Политология,270
Прикладная информатика,241
Прикладная математика,231
Психология служебной деятельности,229
Психолого-педагогическое образование,212
Публичная политика и социальные науки,269
Реклама и связи с общественностью,277.5
Религиоведение,253
Социология,271
Управление персоналом,249
Филология,281
