date,city,category,product_id,sales,quantity,price
2023-01-01,Москва,Одежда,1091,1225,6,4335
2023-01-02,Екатеринбург,Электроника,1267,2225,3,1572
2023-01-03,Екатеринбург,Одежда,1466,27150,7,531
2023-01-04,Екатеринбург,Продукты,1630,26201,9,738
2023-01-05,Екатеринбург,Электроника,1456,8079,7,1587
2023-01-06,Москва,Продукты,1745,10862,9,1903
2023-01-07,Екатеринбург,Одежда,1855,28328,4,4539
2023-01-08,Москва,Одежда,1957,1710,9,784
2023-01-09,Екатеринбург,Продукты,1520,8632,3,850
2023-01-10,СПб,Электроника,1848,23587,5,4099
2023-01-11,СПб,Продукты,1654,1952,6,3566
2023-01-12,Москва,Одежда,1650,3775,3,4363
2023-01-13,СПб,Продукты,1171,21773,9,2996
2023-01-14,Москва,Одежда,1484,10335,4,4901
2023-01-15,Екатеринбург,Продукты,1478,19150,4,4680
2023-01-16,Екатеринбург,Продукты,1307,1065,9,4451
2023-01-17,Москва,Одежда,1870,8930,1,3462
2023-01-18,Екатеринбург,Продукты,1423,14345,3,1282
2023-01-19,СПб,Продукты,1983,22916,6,3594
2023-01-20,СПб,Электроника,1991,20386,6,1360
2023-01-21,Москва,Одежда,1614,11850,9,613
2023-01-22,Екатеринбург,Электроника,1367,16365,7,2090
2023-01-23,Москва,Электроника,1666,2307,6,2900
2023-01-24,Москва,Электроника,1643,15959,5,4776
2023-01-25,СПб,Одежда,1698,20823,4,2458
2023-01-26,СПб,Продукты,1808,19764,1,3155
2023-01-27,Москва,Одежда,1328,9052,6,3935
2023-01-28,СПб,Электроника,1983,7968,7,1178
2023-01-29,Екатеринбург,Продукты,1711,27544,5,2998
2023-01-30,СПб,Электроника,1531,22189,4,607
2023-01-31,Екатеринбург,Продукты,1519,19386,8,1089
2023-02-01,СПб,Одежда,1583,7607,6,4427
2023-02-02,Екатеринбург,Электроника,1542,29325,5,954
2023-02-03,Москва,Продукты,1649,18673,5,2019
2023-02-04,СПб,Электроника,1601,1705,7,2472
2023-02-05,Екатеринбург,Электроника,1836,4899,7,3717
2023-02-06,Екатеринбург,Одежда,1052,28527,8,4706
2023-02-07,Москва,Продукты,1777,12205,2,2319
2023-02-08,СПб,Одежда,1868,1117,6,2500
2023-02-09,Москва,Одежда,1610,25234,8,2050
2023-02-10,Москва,Электроника,1053,16111,7,4825
2023-02-11,Екатеринбург,Одежда,1106,16557,6,1033
2023-02-12,Екатеринбург,Одежда,1897,8623,2,3430
2023-02-13,Екатеринбург,Продукты,1632,2055,8,939
2023-02-14,Екатеринбург,Электроника,1063,20834,6,1099
2023-02-15,Екатеринбург,Продукты,1090,23373,7,4951
2023-02-16,Екатеринбург,Электроника,1521,27468,3,2028
2023-02-17,СПб,Продукты,1500,17977,9,4225
2023-02-18,Екатеринбург,Продукты,1095,21235,9,3162
2023-02-19,СПб,Продукты,1945,17170,8,744
2023-02-20,Москва,Продукты,1160,13166,6,2424
2023-02-21,Москва,Продукты,1075,9991,9,2969
2023-02-22,Москва,Продукты,1452,2559,5,878
2023-02-23,СПб,Одежда,1817,23693,8,2577
2023-02-24,СПб,Электроника,1042,26449,2,519
2023-02-25,Екатеринбург,Продукты,1863,18143,6,4155
2023-02-26,Москва,Одежда,1369,16531,9,2777
2023-02-27,Москва,Электроника,1858,24123,7,3072
2023-02-28,Москва,Электроника,1712,15186,3,853
2023-03-01,Екатеринбург,Одежда,1238,9707,6,3706
2023-03-02,Москва,Продукты,1110,25782,2,1261
2023-03-03,Москва,Одежда,1755,4298,9,1303
2023-03-04,Екатеринбург,Электроника,1672,26023,4,4223
2023-03-05,Екатеринбург,Одежда,1480,24556,3,739
2023-03-06,СПб,Продукты,1858,27473,8,2676
2023-03-07,Москва,Продукты,1701,22145,5,4817
2023-03-08,СПб,Электроника,1377,22131,5,1514
2023-03-09,Москва,Электроника,1416,24847,7,2753
2023-03-10,СПб,Одежда,1096,26912,9,1459
2023-03-11,Москва,Одежда,1384,23823,9,4928
2023-03-12,СПб,Продукты,1846,23063,5,775
2023-03-13,СПб,Одежда,1337,8279,6,4431
2023-03-14,Екатеринбург,Электроника,1061,16222,3,3981
2023-03-15,Москва,Продукты,1078,19911,9,4091
2023-03-16,СПб,Продукты,1815,10059,1,3272
2023-03-17,СПб,Электроника,1356,17950,4,2174
2023-03-18,СПб,Продукты,1135,20801,6,3622
2023-03-19,Екатеринбург,Продукты,1964,18623,7,1657
2023-03-20,Екатеринбург,Одежда,1381,15186,4,2897
2023-03-21,СПб,Одежда,1261,23018,3,2624
2023-03-22,СПб,Электроника,1870,11042,3,4035
2023-03-23,СПб,Одежда,1753,12381,4,857
2023-03-24,Екатеринбург,Электроника,1669,22542,2,2565
2023-03-25,СПб,Продукты,1973,15931,6,1964
2023-03-26,Москва,Одежда,1722,27778,5,3357
2023-03-27,Екатеринбург,Электроника,1928,14915,2,2860
2023-03-28,Москва,Одежда,1059,7298,8,1669
2023-03-29,СПб,Электроника,1735,21716,6,4025
2023-03-30,Москва,Одежда,1094,8569,7,3455
2023-03-31,Екатеринбург,Электроника,1217,25594,7,4511
2023-04-01,Москва,Одежда,1129,7791,8,3550
2023-04-02,Екатеринбург,Электроника,1164,15271,9,1031
2023-04-03,СПб,Продукты,1580,18227,2,4362
2023-04-04,СПб,Электроника,1083,13802,4,3851
2023-04-05,Москва,Одежда,1244,2135,2,1584
2023-04-06,Москва,Одежда,1701,13777,1,4933
2023-04-07,Екатеринбург,Одежда,1162,24817,4,3838
2023-04-08,Екатеринбург,Продукты,1592,24746,7,1075
2023-04-09,СПб,Продукты,1452,13515,6,4924
2023-04-10,Екатеринбург,Электроника,1969,11841,6,2329
